MSZoning,LotFrontage,LotArea,Street,LotShape,Utilities,LotConfig,LandSlope,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,ExterQual,Foundation,BsmtQual,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,Kitchen,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageCars,GarageQual,WoodDeckSF,OpenPorchSF,EnclosedPorch,PoolArea,PoolQC,Fence,MiscFeature,SalePrice
RL,84.0,8658,Pave,Reg,AllPub,Inside,Gtl,6,1965,1965,Gable,TA,CBlock,TA,1088.0,GasA,Ex,Y,SBrkr,1324,0,1324,0.0,0.0,2,0,3,1,TA,6,1,TA,Attchd,2.0,TA,0,138,0,0,,GdWo,,160000.0
RL,115.0,16905,Pave,Reg,AllPub,Inside,Gtl,5,1959,1959,Gable,TA,CBlock,TA,1350.0,GasA,Gd,Y,SBrkr,1328,0,1328,0.0,1.0,1,1,2,1,TA,5,2,Gd,Attchd,1.0,TA,0,104,0,0,,,,170000.0
RL,,9180,Pave,IR1,AllPub,CulDSac,Gtl,5,1983,1983,Gable,TA,CBlock,Gd,840.0,GasA,Gd,Y,SBrkr,884,0,884,1.0,0.0,1,0,2,1,Gd,5,0,,Attchd,2.0,TA,240,0,0,0,,MnPrv,,144000.0
RL,,9200,Pave,IR1,AllPub,CulDSac,Gtl,5,1975,1980,Hip,TA,CBlock,Gd,938.0,GasA,TA,Y,SBrkr,938,0,938,1.0,0.0,1,0,3,1,TA,5,0,,Detchd,1.0,TA,145,0,0,0,,MnPrv,,130250.0
RL,70.0,7945,Pave,Reg,AllPub,Inside,Gtl,5,1959,1959,Gable,TA,CBlock,TA,1150.0,GasA,Ex,Y,FuseA,1150,0,1150,1.0,0.0,1,0,3,1,TA,6,0,,Attchd,1.0,TA,0,0,0,0,,,,141000.0
RL,61.0,7658,Pave,Reg,AllPub,Inside,Gtl,9,2005,2005,Hip,Ex,PConc,Ex,1752.0,GasA,Ex,Y,SBrkr,1752,0,1752,1.0,0.0,2,0,2,1,Ex,6,1,Gd,Attchd,2.0,TA,196,82,0,0,,,,319900.0
RL,48.0,12822,Pave,IR1,AllPub,CulDSac,Gtl,7,2003,2003,Gable,Gd,PConc,Ex,1434.0,GasA,Ex,Y,SBrkr,1518,631,2149,1.0,0.0,1,1,1,1,Gd,6,1,Ex,Attchd,2.0,TA,168,43,0,0,,,,239686.0
FV,84.0,11096,Pave,Reg,AllPub,Inside,Gtl,8,2006,2006,Gable,Gd,PConc,Gd,1656.0,GasA,Ex,Y,SBrkr,1656,0,1656,0.0,0.0,2,0,3,1,Gd,7,0,,Attchd,3.0,TA,0,146,0,0,,,,249700.0
RM,33.0,4456,Pave,Reg,AllPub,Inside,Gtl,4,1920,2008,Gable,TA,BrkTil,TA,736.0,GasA,Gd,Y,SBrkr,736,716,1452,0.0,0.0,2,0,2,3,TA,8,0,,,0.0,,0,0,102,0,,,,113000.0
RL,66.0,7742,Pave,Reg,AllPub,Inside,Gtl,5,1966,1966,Gable,TA,CBlock,TA,955.0,GasA,Ex,Y,SBrkr,955,0,955,1.0,0.0,1,0,3,1,TA,6,0,,Attchd,1.0,TA,0,0,0,0,,MnPrv,,127000.0
RL,,13869,Pave,IR2,AllPub,Corner,Gtl,6,1997,1997,Gable,TA,PConc,Gd,794.0,GasA,Gd,Y,SBrkr,794,676,1470,0.0,1.0,2,0,3,1,TA,6,0,,Attchd,2.0,TA,0,75,0,0,,,,177000.0
RM,52.0,6240,Pave,Reg,AllPub,Inside,Gtl,6,1934,1950,Gable,TA,PConc,TA,816.0,GasA,TA,Y,SBrkr,816,0,1176,0.0,0.0,1,0,3,1,TA,6,1,Gd,Detchd,2.0,TA,112,0,0,0,,MnPrv,Shed,114500.0
RM,110.0,8472,Grvl,IR2,AllPub,Corner,Mod,5,1963,1963,Gable,Fa,CBlock,Gd,816.0,GasA,TA,N,SBrkr,816,0,816,1.0,0.0,1,0,2,1,TA,5,0,,CarPort,2.0,TA,106,0,0,0,,,,110000.0
RL,68.0,50271,Pave,IR1,AllPub,Inside,Gtl,9,1981,1987,Gable,Gd,CBlock,Ex,1842.0,GasA,Gd,Y,SBrkr,1842,0,1842,2.0,0.0,0,1,0,1,Gd,5,1,Gd,Attchd,3.0,TA,857,72,0,0,,,,385000.0
RL,60.0,7134,Pave,Reg,AllPub,Inside,Mod,5,1955,1955,Gable,TA,CBlock,TA,384.0,GasA,TA,Y,SBrkr,1360,0,1360,0.0,0.0,1,0,3,1,TA,6,1,TA,Detchd,2.0,TA,0,50,0,0,,MnPrv,,130000.0
RL,100.0,10175,Pave,IR1,AllPub,Inside,Gtl,6,1964,1964,Gable,TA,CBlock,TA,1425.0,GasA,Gd,Y,SBrkr,1425,0,1425,0.0,0.0,2,0,3,1,TA,7,1,Gd,Attchd,2.0,TA,0,0,0,0,,,,180500.0
FV,24.0,2645,Pave,Reg,AllPub,Inside,Gtl,8,1999,2000,Gable,Gd,PConc,Gd,970.0,GasA,Ex,Y,SBrkr,983,756,1739,1.0,0.0,2,1,3,1,Gd,7,0,,Attchd,2.0,TA,115,0,0,0,,,,172500.0
RL,89.0,11645,Pave,IR1,AllPub,Corner,Gtl,7,2004,2004,Gable,Gd,PConc,Gd,860.0,GasA,Ex,Y,SBrkr,860,860,1720,0.0,0.0,2,1,3,1,Gd,7,0,,Attchd,2.0,TA,0,70,0,0,,,,196500.0
RL,66.0,13682,Pave,IR2,AllPub,CulDSac,Gtl,10,2006,2006,Hip,Ex,PConc,Ex,1410.0,GasA,Ex,Y,SBrkr,1426,1519,2945,0.0,0.0,3,1,3,1,Gd,10,1,Gd,BuiltIn,3.0,TA,192,0,37,0,,,,438780.0
RL,60.0,7200,Pave,Reg,AllPub,Inside,Gtl,5,1972,1972,Gable,TA,CBlock,TA,780.0,GasA,Ex,Y,SBrkr,780,0,780,0.0,0.0,1,0,2,1,TA,4,0,,Detchd,1.0,TA,196,0,0,0,,MnPrv,,124900.0
RL,63.0,13072,Pave,Reg,AllPub,Inside,Gtl,6,2004,2004,Gable,TA,PConc,Gd,1158.0,GasA,Ex,Y,SBrkr,1158,0,1158,1.0,0.0,1,1,3,1,Gd,5,0,,Detchd,2.0,TA,0,50,0,0,,,,158000.0
RM,60.0,7200,Pave,Reg,AllPub,Inside,Gtl,5,1920,1996,Gable,TA,BrkTil,TA,530.0,GasA,TA,N,SBrkr,581,530,1111,0.0,0.0,1,0,3,1,Fa,6,0,,Detchd,1.0,TA,0,0,144,0,,,,101000.0
RL,44.0,6442,Pave,IR1,AllPub,Inside,Gtl,8,2006,2006,Gable,Gd,PConc,Gd,1370.0,GasA,Ex,Y,SBrkr,1370,0,1370,0.0,0.0,2,0,2,1,Gd,6,1,Gd,Attchd,2.0,TA,120,49,0,0,,,,202500.0
RM,50.0,10300,Pave,IR1,AllPub,Inside,Gtl,7,1921,1950,Gable,TA,BrkTil,TA,576.0,GasA,Gd,Y,SBrkr,902,808,1710,0.0,0.0,2,0,3,1,TA,9,0,,Detchd,2.0,TA,12,11,64,0,,GdPrv,,140000.0
RL,,9375,Pave,Reg,AllPub,Inside,Gtl,7,1997,1998,Gable,TA,PConc,Gd,1057.0,GasA,Ex,Y,SBrkr,1057,977,2034,1.0,0.0,2,1,3,1,Gd,8,0,,Attchd,2.0,TA,576,36,0,0,,GdPrv,,219500.0
RL,76.0,9591,Pave,Reg,AllPub,Inside,Gtl,8,2004,2005,Gable,Gd,PConc,Ex,1143.0,GasA,Ex,Y,SBrkr,1143,1330,2473,0.0,0.0,2,1,4,1,Gd,9,1,Gd,BuiltIn,3.0,TA,192,151,0,0,,,,317000.0
RL,,19900,Pave,Reg,AllPub,Inside,Gtl,7,1970,1989,Gable,TA,CBlock,Gd,1947.0,GasA,TA,Y,SBrkr,2207,0,2207,1.0,0.0,2,0,3,1,TA,7,1,Gd,Attchd,2.0,TA,301,0,0,0,,,,180000.0
RL,72.0,10665,Pave,IR1,AllPub,Inside,Gtl,7,2003,2003,Gable,Gd,PConc,Gd,1453.0,GasA,Ex,Y,SBrkr,1479,0,1479,1.0,0.0,2,0,3,1,Gd,7,0,,Attchd,2.0,TA,144,29,0,0,,,,226000.0
RM,47.0,4608,Pave,Reg,AllPub,Corner,Gtl,4,1945,1950,Gable,TA,CBlock,TA,747.0,GasA,TA,Y,SBrkr,747,0,747,0.0,0.0,1,0,2,1,TA,4,0,,Attchd,1.0,TA,0,0,0,0,,,,80000.0
RL,81.0,15593,Pave,Reg,AllPub,Corner,Gtl,7,1953,1953,Gable,Gd,CBlock,TA,1304.0,GasW,TA,Y,SBrkr,1304,983,2287,0.0,0.0,2,0,3,1,TA,7,1,TA,Attchd,2.0,TA,0,21,114,0,,,,225000.0
RL,95.0,13651,Pave,IR1,AllPub,Inside,Gtl,7,1973,1973,Gable,TA,CBlock,Gd,2223.0,GasA,Ex,Y,SBrkr,2223,0,2223,1.0,0.0,2,0,3,1,TA,8,2,Gd,Attchd,2.0,TA,300,0,0,0,,,,244000.0
RL,69.0,7599,Pave,Reg,AllPub,Corner,Gtl,4,1982,2006,Gable,TA,CBlock,TA,845.0,GasA,TA,Y,SBrkr,845,0,845,1.0,0.0,1,0,2,1,TA,4,0,,Detchd,2.0,TA,0,0,0,0,,,,129500.0
RL,74.0,10141,Pave,IR1,AllPub,Corner,Gtl,7,1998,1998,Gable,TA,PConc,Gd,832.0,GasA,Gd,Y,SBrkr,885,833,1718,0.0,0.0,2,1,3,1,TA,7,1,TA,Attchd,2.0,TA,0,94,0,0,,,,185000.0
RL,85.0,10200,Pave,Reg,AllPub,Inside,Gtl,5,1954,2003,Gable,TA,CBlock,TA,1086.0,GasA,Gd,Y,SBrkr,1086,0,1086,1.0,0.0,1,0,3,1,TA,6,0,,Attchd,2.0,TA,0,0,0,0,,GdWo,,144900.0
RM,60.0,5790,Pave,Reg,AllPub,Corner,Gtl,3,1915,1950,Gambrel,Gd,CBlock,Fa,840.0,GasA,Gd,N,SBrkr,840,765,1605,0.0,0.0,2,0,3,2,TA,8,0,,Detchd,1.0,TA,0,0,202,0,,,,107400.0
RM,21.0,1596,Pave,Reg,AllPub,Inside,Gtl,4,1973,1973,Gable,TA,CBlock,Gd,462.0,GasA,TA,Y,SBrkr,526,462,988,1.0,0.0,1,0,2,1,TA,5,0,,BuiltIn,1.0,TA,120,101,0,0,,GdWo,,91000.0
RL,,8475,Pave,IR1,AllPub,Inside,Gtl,4,1956,1956,Gable,TA,CBlock,TA,952.0,GasA,Ex,Y,FuseA,952,0,952,0.0,0.0,1,0,2,1,TA,4,0,,Detchd,1.0,TA,0,0,0,0,,,,135750.0
RM,50.0,8635,Pave,Reg,AllPub,Inside,Gtl,5,1948,2001,Gable,TA,CBlock,TA,672.0,GasA,TA,Y,SBrkr,1072,213,1285,1.0,0.0,1,0,2,1,TA,6,0,,Detchd,1.0,TA,0,0,0,0,,MnPrv,,127000.0
RL,72.0,10778,Pave,Reg,AllPub,Inside,Gtl,4,1968,1968,Hip,TA,CBlock,TA,1768.0,GasA,TA,N,SBrkr,1768,0,1768,0.0,0.0,2,0,4,2,TA,8,0,,,0.0,,0,0,0,0,,,,136500.0
RM,60.0,10440,Pave,Reg,AllPub,Corner,Gtl,5,1910,1981,Gable,TA,PConc,TA,440.0,GasA,Gd,Y,SBrkr,682,548,1230,0.0,0.0,1,1,2,1,TA,5,0,,Detchd,2.0,TA,74,0,128,0,,MnPrv,,110000.0
RL,100.0,13000,Pave,Reg,AllPub,Corner,Gtl,6,1968,1968,Gable,TA,CBlock,Gd,896.0,GasA,TA,Y,SBrkr,1182,960,2142,0.0,0.0,2,1,4,1,Gd,8,1,Gd,Attchd,1.0,TA,0,72,0,0,,,,193500.0
RM,32.0,4500,Pave,Reg,AllPub,FR2,Gtl,6,1998,1998,Hip,TA,PConc,Ex,1237.0,GasA,Ex,Y,SBrkr,1337,0,1337,1.0,0.0,2,0,2,1,TA,5,0,,Attchd,2.0,TA,0,199,0,0,,,,153500.0
RL,78.0,10206,Pave,Reg,AllPub,Inside,Gtl,8,2007,2007,Gable,TA,PConc,Gd,1563.0,GasA,Ex,Y,SBrkr,1563,0,1563,0.0,0.0,2,0,3,1,Gd,6,1,Gd,Attchd,3.0,TA,144,99,0,0,,,,245000.0
RL,80.0,8892,Pave,IR1,AllPub,Inside,Gtl,5,1960,1960,Gable,TA,CBlock,TA,1065.0,GasA,Gd,Y,SBrkr,1065,0,1065,0.0,0.0,1,1,3,1,TA,6,0,,Detchd,2.0,TA,74,0,0,0,,,,126500.0
RL,,8530,Pave,IR1,AllPub,Inside,Gtl,7,1995,1996,Gable,TA,PConc,Gd,384.0,GasA,Gd,Y,SBrkr,804,670,1474,0.0,0.0,2,1,3,1,TA,7,1,TA,BuiltIn,2.0,TA,120,72,0,0,,,Shed,168500.0
RL,121.0,16059,Pave,Reg,AllPub,Corner,Gtl,8,1991,1992,Hip,Gd,CBlock,Gd,1288.0,GasA,Ex,Y,SBrkr,1301,1116,2417,0.0,0.0,2,1,4,1,Gd,9,1,TA,Attchd,2.0,TA,127,82,0,0,,,,260000.0
RL,122.0,11911,Pave,IR2,AllPub,Inside,Gtl,6,2005,2005,Gable,Gd,PConc,Gd,684.0,GasA,Ex,Y,SBrkr,684,876,1560,0.0,0.0,2,1,3,1,Gd,6,1,Gd,BuiltIn,2.0,TA,100,38,0,0,,,,174000.0
FV,40.0,3951,Pave,Reg,AllPub,Corner,Gtl,6,2009,2009,Gable,Gd,PConc,Gd,612.0,GasA,Ex,Y,SBrkr,612,612,1224,0.0,0.0,2,1,2,1,Gd,4,0,,Detchd,2.0,TA,0,234,0,0,,,,164500.0
C (all),105.0,8470,Pave,IR1,AllPub,Corner,Gtl,3,1915,1982,Hip,Fa,CBlock,TA,1013.0,GasA,TA,N,SBrkr,1013,0,1526,0.0,0.0,1,0,2,1,Fa,6,0,,,0.0,,0,0,156,0,,MnPrv,,85000.0
RL,60.0,8070,Pave,Reg,AllPub,Inside,Gtl,4,1994,1995,Gable,TA,PConc,Gd,990.0,GasA,Ex,Y,SBrkr,990,0,990,1.0,0.0,1,0,3,1,TA,5,0,,,0.0,,0,0,0,0,,,,123600.0
RL,60.0,7200,Pave,Reg,AllPub,Inside,Gtl,4,1950,1950,Gable,TA,Slab,,0.0,GasA,TA,Y,FuseA,1040,0,1040,0.0,0.0,1,0,2,1,TA,4,0,,Detchd,2.0,TA,0,29,0,0,,,,109900.0
RL,85.0,8500,Pave,Reg,AllPub,Inside,Gtl,5,1961,1961,Hip,TA,CBlock,TA,1235.0,GasA,TA,Y,SBrkr,1235,0,1235,0.0,0.0,1,0,2,1,TA,6,0,,Attchd,2.0,TA,0,0,0,0,,GdWo,,98600.0
RL,80.0,13360,Pave,IR1,AllPub,Inside,Gtl,5,1921,2006,Gable,TA,BrkTil,Gd,876.0,GasA,Ex,Y,SBrkr,964,0,964,1.0,0.0,1,0,2,1,TA,5,0,,Detchd,2.0,TA,0,0,44,0,,,,163500.0
C (all),60.0,7200,Pave,Reg,AllPub,Corner,Gtl,6,1910,1998,Hip,TA,BrkTil,TA,1214.0,GasW,Ex,N,SBrkr,1260,1031,2291,0.0,1.0,2,0,4,2,TA,9,1,Gd,Detchd,2.0,TA,0,0,0,0,,,,133900.0
RL,69.0,9337,Pave,IR1,AllPub,Inside,Gtl,6,1997,1997,Gable,TA,PConc,Gd,824.0,GasA,Ex,Y,SBrkr,905,881,1786,1.0,0.0,2,1,3,1,Gd,7,0,,Attchd,2.0,TA,0,162,0,0,,,,204750.0
RL,,9765,Pave,IR2,AllPub,Corner,Gtl,6,1993,1993,Gable,Ex,PConc,Gd,680.0,GasA,Gd,Y,SBrkr,680,790,1470,0.0,0.0,2,1,3,1,TA,6,1,TA,BuiltIn,2.0,TA,232,63,0,0,,,Shed,185000.0
